Date;Team;Inflow;Outflow;Grade;
10.07.2013;New York Knicks;Andrea Bargnani;Marcus Camby;D-;
10.07.2013;Toronto Raptors;Marcus Camby;Andrea Bargnani;A;
10.07.2013;Los Angeles Clippers;J.J. Redick;2 round 2013 draft pick;A-;
10.07.2013;Milwaukee Bucks;2 round 2013 draft pick;J.J. Redick;B;
10.07.2013;Phoenix Suns;Eric Bledsoe;Jared Dudley;B+;
10.07.2013;Houston Rockets;Kostas Papanikolau;Thomas Robinson;B;
10.07.2013;Portland Trail Blazers;Thomas Robinson;Kostas Papanikolau;C-;
10.07.2013;Denver Nuggets;2 round 2018 draft pick;Andre Iguodala;C+;
10.07.2013;Golden State Warriors;Andre Iguodala;2 round 2018 draft pick;B+;
10.07.2013;Utah Jazz;2 round 2018 draft pick;Randy Foye;B- ;
10.07.2013;New Orleans Pelicans;Jeff Withey;Terrel Harris;C-;
10.07.2013;Portland Trail Blazers;Terrel Harris;Jeff Withey;B+;
10.07.2013;Sacramento Kings;Greivis Vasquez;Tyreke Evans;B;
11.07.2013;Milwaukee Bucks;Luke Ridnour;Szymon Szewczyk;B+;
11.07.2013;Oklahoma City Thunder;Szymon Szewczyk;Kevin Martin;B;
11.07.2013;Minnesota Timberwolves;Kevin Martin;Luke Ridnour;B;
12.07.2013;Boston Celtics;Keith Bogans;Kevin Garnett;B- ;Worst Trade in Hindsight
12.07.2013;Brooklyn Nets;Kevin Garnett;Keith Bogans;B;
12.07.2013;Milwaukee Bucks;2 round 2013 draft pick;Luc Mbah a Moute;C-;
12.07.2013;Sacramento Kings;Luc Mbah a Moute;2 round 2013 draft pick;B- ;
12.07.2013;New Orleans Pelicans;Jrue Holiday;Nerlens Noel;D;
12.07.2013;Philadelphia 76ers;Nerlens Noel;Jrue Holiday;A+;
13.07.2013;Houston Rockets;2 round 2014 draft pick;Furkan Aldemir;B+;
13.07.2013;Philadelphia 76ers;Furkan Aldemir;2 round 2014 draft pick;B+;
22.07.2013;Dallas Mavericks;2 round 2016 draft pick;Nick Calathes;False;
22.07.2013;Memphis Grizzlies;Nick Calathes;2 round 2016 draft pick;False;
27.07.2013;Indiana Pacers;Luis Scola;Gerald Green;B+;
27.07.2013;Phoenix Suns;Gerald Green;Luis Scola;A-;
31.07.2013;Detroit Pistons;Brandon Jennings;Brandon Knight;B+;
31.07.2013;Milwaukee Bucks;Brandon Knight;Brandon Jennings;B- ;
15.08.2013;Boston Celtics;Donte Greene;Fab Melo;False;
15.08.2013;Memphis Grizzlies;Fab Melo;Donte Greene;False;
22.08.2013;Memphis Grizzlies;2 round 2014 draft pick;Tony Wroten;C+;
22.08.2013;Philadelphia 76ers;Tony Wroten;2 round 2014 draft pick;A;
29.08.2013;Milwaukee Bucks;Caron Butler;Viacheslav Kravtsov;B;
29.08.2013;Phoenix Suns;Viacheslav Kravtsov;Caron Butler;B;
25.10.2013;Phoenix Suns;Emeka Okafor;Shannon Brown;A;
25.10.2013;Washington Wizards;Shannon Brown;Emeka Okafor;B-;
26.11.2013;Minnesota Timberwolves;Luc Mbah a Moute;Derrick Williams;B- ;
26.11.2013;Sacramento Kings;Derrick Williams;Luc Mbah a Moute;B-;
09.12.2013;Sacramento Kings;Quincy Acy;Chuck Hayes;D;
09.12.2013;Toronto Raptors;Chuck Hayes;Quincy Acy;A-;
06.01.2014;Chicago Bulls;Andrew Bynum;Luol Deng;C;
06.01.2014;Cleveland Cavaliers;Luol Deng;Andrew Bynum;B;
07.01.2014;Boston Celtics;Jerryd Bayless;Courtney Lee;B+;Three team
07.01.2014;Memphis Grizzlies;Courtney Lee;Jerryd Bayless;C+;Trade
07.01.2014;Oklahoma City Thunder;2 round 2014 draft pick;Ryan Gomes;C;Inputation
15.01.2014;Boston Celtics;Joel Anthony;MarShon Brooks;C+;
15.01.2014;Golden State Warriors;MarShon Brooks;Toney Douglas;B;
15.01.2014;Miami Heat;Toney Douglas;Joel Anthony;B+;
21.01.2014;Brooklyn Nets;Marquis Teague;Tornike Shengelia;C;
21.01.2014;Chicago Bulls;Tornike Shengelia;Marquis Teague;A;
19.02.2014;Golden State Warriors;Steve Blake;Kent Bazemore;A-;
19.02.2014;Los Angeles Lakers;Kent Bazemore;Steve Blake;A;
19.02.2014;Brooklyn Nets;Marcus Thornton;Reggie Evans;B;
19.02.2014;Sacramento Kings;Reggie Evans;Marcus Thornton;C+;
20.02.2014;Denver Nuggets;Jan Vesely;2 round 2016 draft pick;B-;
20.02.2014;Philadelphia 76ers;2 round 2016 draft pick;2 round 2014 draft pick;A-;
20.02.2014;Washington Wizards;Andre Miller;Jan Vesely;A;
20.02.2014;Charlotte Bobcats;Gary Neal;Jeff Adrien;C;
20.02.2014;Milwaukee Bucks;Jeff Adrien;Gary Neal;B+;
20.02.2014;Miami Heat;2 round 2015 draft pick;Roger Mason;B;
20.02.2014;Sacramento Kings;Roger Mason;2 round 2015 draft pick;B-;
20.02.2014;Cleveland Cavaliers;Spencer Hawes;Earl Clark;D;
20.02.2014;Philadelphia 76ers;Earl Clark;Spencer Hawes;B;
20.02.2014;Indiana Pacers;Lavoy Allen;Danny Granger;C-;
20.02.2014;Philadelphia 76ers;Danny Granger;Lavoy Allen;B;
20.02.2014;Los Angeles Clippers;2 round 2014 draft pick;Byron Mullens;B+;
20.02.2014;Philadelphia 76ers;Byron Mullens;2 round 2014 draft pick;B;
20.02.2014;Atlanta Hawks;Antawn Jamison;Cenk Akyol;B;
20.02.2014;Los Angeles Clippers;Cenk Akyol;Antawn Jamison;B;
20.02.2014;Denver Nuggets;Aaron Brooks;Jordan Hamilton;C;
20.02.2014;Houston Rockets;Jordan Hamilton;Aaron Brooks;B-;
20.02.2014;San Antonio Spurs;Austin Daye;Nando de Colo;B;
20.02.2014;Toronto Raptors;Nando de Colo;Austin Daye;B-;
25.06.2014;Dallas Mavericks;Tyson Chandler;Jose Calderon;C+;
25.06.2014;New York Knicks;Jose Calderon;Tyson Chandler;B+;
26.06.2014;Chicago Bulls;Doug McDermott;Gary Harris;D;
26.06.2014;Denver Nuggets;Gary Harris;Doug McDermott;A+;
26.06.2014;Memphis Grizzlies;Jarnell Stokes;2 round 2016 draft pick;False;
26.06.2014;Utah Jazz;2 round 2016 draft pick;Jarnell Stokes;False;
26.06.2014;Orlando Magic;Elfrid Payton;Dario Saric;C-;
26.06.2014;Philadelphia 76ers;Dario Saric;Elfrid Payton;A-;
26.06.2014;Philadelphia 76ers;Jordan McRae;Nemanja Dangubic;False;
26.06.2014;San Antonio Spurs;Nemanja Dangubic;Jordan McRae;False;
26.06.2014;Brooklyn Nets;Cory Jefferson;NA;False;
26.06.2014;San Antonio Spurs;NA;Cory Jefferson;False;
27.06.2014;Atlanta Hawks;Lamar Patterson;2 round 2015 draft pick;False;
27.06.2014;Milwaukee Bucks;2 round 2015 draft pick;Lamar Patterson;False;
27.06.2014;Brooklyn Nets;Markel Brown;NA;False;
27.06.2014;Minnesota Timberwolves;NA;Markel Brown;False;
27.06.2014;Brooklyn Nets;Xavier Thames;NA;False;
27.06.2014;Toronto Raptors;NA;Xavier Thames;False;
27.06.2014;Charlotte Bobcats;Semaj Christon;Shabazz Napier;B-;
27.06.2014;Miami Heat;Shabazz Napier;Semaj Christon;C;
27.06.2014;Denver Nuggets;Arron Afflalo;Evan Fournier;B-;
27.06.2014;Orlando Magic;Evan Fournier;Arron Afflalo;C;
27.06.2014;Los Angeles Lakers;Jordan Clarkson;NA;False;
27.06.2014;Washington Wizards;NA;Jordan Clarkson;False;
27.06.2014;Indiana Pacers;NA;Louis Labeyrie;False;
27.06.2014;New York Knicks;Louis Labeyrie;NA;False;
27.06.2014;Charlotte Bobcats;Alonzo Gee;Brendan Haywood;B;
27.06.2014;Cleveland Cavaliers;Brendan Haywood;Alonzo Gee;B;
29.06.2014;Atlanta Hawks;John Salmons;Lucas Nogueira;C;
29.06.2014;Toronto Raptors;Lucas Nogueira;John Salmons;A-;
29.06.2014;Brooklyn Nets;2 round 2015 draft pick;Jason Kidd;False;
29.06.2014;Milwaukee Bucks;Jason Kidd;2 round 2015 draft pick;False;
30.06.2014;Brooklyn Nets;2 round 2015 draft pick;Jason Kidd;False;
30.06.2014;Milwaukee Bucks;Jason Kidd;2 round 2015 draft pick;False;
