TradeID;Date;Team;Inflow;Outflow;Grades(source: ESPN)
1.2017;February 23, 2017;Chicago Bulls;Joffrey Lauvergne;Taj Gibson;C
2.2017;February 23, 2017;Oklahoma City Thunder;Taj Gibson;Joffrey Lauvergne;B
3.2017;February 23, 2017;Phoenix Suns;Jared Sullinger;P.J. Tucker;C
4.2017;February 23, 2017;Toronto Raptors;P.J. Tucker;Jared Sullinger;A
5.2017;February 23, 2017;Atlanta Hawks;a 2017 2nd round draft pick;Cenk Akyol;B-
6.2017;February 23, 2017;Phoenix Suns;Cenk Akyol;a 2017 2nd round draft pick;B
7.2017;February 23, 2017;Houston Rockets;Marcelo Huertas;Tyler Ennis;C+
8.2017;February 23, 2017;Los Angeles Lakers;Tyler Ennis;Marcelo Huertas;C+
9.2017;February 23, 2017;Brooklyn Nets;K.J. McDaniels;NA;B
10.2017;February 23, 2017;Houston Rockets;NA;K.J. McDaniels;B
11.2017;February 23, 2017;Denver Nuggets;Roy Hibbert;a 2019 2nd round draft pick;A
12.2017;February 23, 2017;Milwaukee Bucks;a 2019 2nd round draft pick;Roy Hibbert;B
13.2017;February 23, 2017;Dallas Mavericks;Nerlens Noel;Justin Anderson;B+
14.2017;February 23, 2017;Philadelphia 76ers;Justin Anderson;Nerlens Noel;B-
15.2017;February 23, 2017;Houston Rockets;Lou Williams;Corey Brewer;A-
16.2017;February 23, 2017;Los Angeles Lakers;Corey Brewer;Lou Williams;B
17.2017;February 22, 2017;Atlanta Hawks;Ersan Ilyasova;Tiago Splitter;B
18.2017;February 22, 2017;Philadelphia 76ers;Tiago Splitter;Ersan Ilyasova;B+
19.2017;February 22, 2017;Brooklyn Nets;Andrew Nicholson;Bojan Bogdanovic;B+
20.2017;February 22, 2017;Washington Wizards;Bojan Bogdanovic;Andrew Nicholson;C
21.2017;February 20, 2017;New Orleans Pelicans;Omri Casspi;Tyreke Evans;A-
22.2017;February 20, 2017;Sacramento Kings;Tyreke Evans;Omri Casspi;D
23.2017;February 14, 2017;Orlando Magic;Terrence Ross;Serge Ibaka;B
24.2017;February 14, 2017;Toronto Raptors;Serge Ibaka;Terrence Ross;A
25.2017;February 13, 2017;Denver Nuggets;Mason Plumlee;Jusuf Nurkic;C-
26.2017;February 13, 2017;Portland Trail Blazers;Jusuf Nurkic;Mason Plumlee;B+
27.2017;February 13, 2017;Charlotte Hornets;Chris Andersen;a 2017 2nd round draft pick;B
28.2017;February 13, 2017;Cleveland Cavaliers;a 2017 2nd round draft pick;Chris Andersen;A
29.2017;February 2, 2017;Charlotte Hornets;Miles Plumlee;Spencer Hawes;D
30.2017;February 2, 2017;Milwaukee Bucks;Spencer Hawes;Miles Plumlee;A
31.2017;January 18, 2017;Atlanta Hawks;Cenk Akyol;Mo Williams;False
32.2017;January 18, 2017;Denver Nuggets;Mo Williams;Cenk Akyol;False
33.2017;January 7, 2017;Atlanta Hawks;Mike Dunleavy;Kyle Korver;C+
34.2017;January 7, 2017;Cleveland Cavaliers;Kyle Korver;Mike Dunleavy;A
35.2017;January 6, 2017;Cleveland Cavaliers;a 2018 1st round draft pick;a 2017 1st round draft pick;False
36.2017;January 6, 2017;Portland Trail Blazers;a 2017 1st round draft pick;a 2018 1st round draft pick;False
37.2016;November 1, 2016;Oklahoma City Thunder;Jerami Grant;Ersan Ilyasova;B-
38.2016;November 1, 2016;Philadelphia 76ers;Ersan Ilyasova;Jerami Grant;B
39.2016;October 17, 2016;Chicago Bulls;Michael Carter-Williams;Tony Snell;B
40.2016;October 17, 2016;Milwaukee Bucks;Tony Snell;Michael Carter-Williams;C-
41.2016;September 22, 2016;Houston Rockets;Tyler Ennis;Michael Beasley;B-
42.2016;September 22, 2016;Milwaukee Bucks;Michael Beasley;Tyler Ennis;C
43.2016;August 30, 2016;Denver Nuggets;a 2017 2nd round draft pick ;Joffrey Lauvergne;A-
44.2016;August 30, 2016;Oklahoma City Thunder;Joffrey Lauvergne;a 2017 2nd round draft pick ;C-
45.2016;August 26, 2016;Philadelphia 76ers;Tibor Pleiss;Kendall Marshall;A
46.2016;August 26, 2016;Utah Jazz;Kendall Marshall;Tibor Pleiss;C
47.2016;July 15, 2016;Los Angeles Clippers;Devyn Marble;C.J. Wilcox;B
48.2016;July 15, 2016;Orlando Magic;C.J. Wilcox;Devyn Marble;C
49.2016;July 15, 2016;Cleveland Cavaliers;Chukwudiebere Maduabum;Sasha Kaun;False
50.2016;July 15, 2016;Philadelphia 76ers;Sasha Kaun;Chukwudiebere Maduabum;False
51.2016;July 12, 2016;Charlotte Hornets;NA;Troy Daniels;B-
52.2016;July 12, 2016;Memphis Grizzlies;Troy Daniels;NA;B
53.2016;July 10, 2016;Miami Heat;Luke Babbitt; a 2018 2nd round draft pick;B
54.2016;July 10, 2016;New Orleans Pelicans; a 2018 2nd round draft pick;Luke Babbitt;B+
55.2016;July 8, 2016;San Antonio Spurs;Olivier Hanlan;Boris Diaw;B-
56.2016;July 8, 2016;Utah Jazz;Boris Diaw;Olivier Hanlan;A
57.2016;July 7, 2016;Charlotte Hornets;Marco Belinelli;Malachi Richardson;D-
58.2016;July 7, 2016;Sacramento Kings;Malachi Richardson;Marco Belinelli;A
59.2016;July 7, 2016;Dallas Mavericks;Andrew Bogut;a future 2nd round draft pick;B
60.2016;July 7, 2016;Golden State Warriors;a future 2nd round draft pick;Andrew Bogut;A
61.2016;July 7, 2016;Brooklyn Nets;Caris LeVert;Thaddeus Young;B
62.2016;July 7, 2016;Indiana Pacers;Thaddeus Young;Caris LeVert;B+
63.2016;July 7, 2016;Orlando Magic;NA;Shabazz Napier;C
64.2016;July 7, 2016;Portland Trail Blazers;Shabazz Napier;NA;B
65.2016;July 7, 2016;Atlanta Hawks;Taurean Prince;Jeff Teague;B-
66.2016;July 7, 2016;Indiana Pacers;Jeff Teague;George Hill;C
67.2016;July 7, 2016;Utah Jazz;George Hill;Taurean Prince;B+
68.2016;July 7, 2016;Dallas Mavericks;Stanko Barac;Jeremy Evans;C
69.2016;July 7, 2016;Indiana Pacers;Jeremy Evans;Stanko Barac;B+
70.2016;July 7, 2016;Utah Jazz;a 2021 2nd round draft pick;Trey Burke;C+
71.2016;July 7, 2016;Washington Wizards;Trey Burke;a 2021 2nd round draft pick;B
72.2016;July 7, 2016;Chicago Bulls;Ater Majok;Jose Calderon;B
73.2016;July 7, 2016;Los Angeles Lakers;Jose Calderon;Ater Majok;A
74.2016;July 7, 2016;Chicago Bulls;Albert Miralles;Mike Dunleavy;C
75.2016;July 7, 2016;Cleveland Cavaliers;Mike Dunleavy;Albert Miralles;B
76.2016;July 7, 2016;Cleveland Cavaliers;Albert Miralles;Matthew Dellavedova;A
77.2016;July 7, 2016;Milwaukee Bucks;Matthew Dellavedova;Albert Miralles;B
